4999 7.36082 0.366 2.9765
4949 6.75387 0.323769 3.41868
4899 6.8188 0.335442 3.40147
4849 6.9115 0.343928 3.42842
4799 6.69614 0.32848 3.37722
4749 6.77534 0.343774 3.4109
4699 6.74627 0.328913 3.26956
4649 6.82514 0.337849 3.35178
4599 6.64481 0.326864 3.31107
4549 6.47303 0.329154 3.29376
4499 6.66721 0.332735 3.21788
4449 6.69503 0.346108 3.36501
4399 6.61812 0.327357 3.30966
4349 6.65651 0.325577 3.37075
4299 6.65627 0.336433 3.3712
4249 6.6039 0.314152 3.22557
4199 6.65615 0.341382 3.35956
4149 6.58846 0.325526 3.27889
4099 6.50377 0.317249 3.22701
4049 6.5557 0.312833 3.44693
3999 6.5243 0.319528 3.22659
3949 6.56353 0.331343 3.27692
3899 6.71499 0.329784 3.40289
3849 6.54954 0.320527 3.3517
3799 6.38385 0.31987 3.17339
3749 6.40525 0.320645 3.36201
3699 6.43485 0.31792 3.41858
3649 6.52503 0.332345 3.33315
3599 6.3111 0.322661 3.32754
3549 6.43093 0.320086 3.38313
3499 6.3683 0.307629 3.25242
3449 6.28052 0.321034 3.34419
3399 6.27325 0.318505 3.1558
3349 6.29285 0.320561 3.22974
3299 6.29004 0.319292 3.24363
3249 6.00972 0.31658 3.14958
3199 6.15751 0.313021 3.24072
3149 6.17333 0.308215 3.11563
3099 6.05024 0.318076 3.20505
3049 6.34701 0.325195 3.18341
2999 6.12621 0.31467 3.15854
2949 6.18748 0.325279 3.11659
2899 6.18449 0.315022 3.18009
2849 6.10657 0.315835 3.29667
2799 6.14457 0.317075 3.13957
2749 6.01244 0.309459 3.0648
2699 5.96474 0.296731 3.05943
2649 5.88249 0.312664 2.99631
2599 6.01903 0.32131 3.12645
2549 5.90826 0.305905 2.97329
2499 5.90896 0.303247 3.12723
2449 5.93228 0.310649 3.10912
2399 5.84217 0.316808 2.97431
2349 5.93194 0.318397 3.06045
2299 5.61118 0.298355 2.7789
2249 5.87108 0.305164 2.9899
2199 6.85618 0.388917 3.43038
2149 6.2757 0.33242 3.20277
2099 5.69742 0.295799 2.91988
2049 5.77908 0.308537 3.0459
1999 5.63217 0.291897 2.82438
1949 5.73138 0.296152 3.05245
1899 5.56064 0.297388 2.74484
1849 5.54249 0.297895 2.81127
1799 5.57283 0.293477 2.96417
1749 5.6074 0.310741 2.85743
1699 5.38828 0.295441 2.77499
1649 5.41222 0.301166 2.81691
1599 5.43912 0.298878 2.59309
1549 5.30926 0.29919 2.84208
1499 5.45863 0.297647 2.78378
1449 5.17034 0.28944 2.56232
1399 5.29489 0.29565 2.66529
1349 5.39924 0.298323 2.78446
1299 5.12396 0.296754 2.64662
1249 5.14257 0.285442 2.60892
1199 5.24339 0.28643 2.66506
1149 5.12914 0.289095 2.63987
1099 5.11106 0.291277 2.62826
1049 4.94926 0.276991 2.45473
999 5.00267 0.288337 2.6095
949 5.08293 0.287018 2.51495
899 4.89603 0.299281 2.51527
849 4.83763 0.291245 2.41961
799 4.83965 0.279339 2.44141
749 4.59723 0.279393 2.20839
699 4.65446 0.280261 2.28163
649 4.62132 0.288499 2.32124
599 4.58261 0.271808 2.24778
549 4.38152 0.275276 2.16205
499 4.34281 0.278154 2.07987
449 4.27519 0.27323 2.03636
399 4.21471 0.282813 2.02709
349 4.06228 0.279348 1.97146
299 3.95686 0.273136 1.91207
249 3.71407 0.278879 1.69935
199 3.62549 0.276879 1.75248
149 3.41788 0.279219 1.50039
99 3.106 0.265505 1.35962
49 2.64457 0.278783 1.09757
